name	output	source_video	source_motion	source_frame_start	source_frame_end_exclusive	source_strike_frame	strike_frame	frames	fps	swing_side	motion_type	source	strike_phase	train_tier	acceptance	review_reasons	source_crop_start	source_crop_end_exclusive	left_contact_fraction	right_contact_fraction	double_support_fraction	single_support_fraction	contact_foot_speed_p95_m_s	contact_foot_height_error_p95_m	com_support_margin_p05_m	com_outside_support_fraction	ik_contact_error_p95_m	root_correction_p95_m	leg_correction_rms_p95_rad	joint_limit_min_margin_rad	upper_body_max_abs_change_rad	leg_speed_norm_p95_rad_s	leg_acceleration_norm_p95_rad_s2	isaac_fk_pos_error_p95_m	isaac_fk_rot_error_p95_deg	ready_blend	source_ready_leg_rms_from_default_rad	target_ready_leg_rms_from_default_rad	source_ready_root_z_m	target_ready_root_z_before_ground_ik_m	final_ready_leg_rms_from_default_rad	final_ready_root_z_m	strike_racket_x_m	strike_racket_y_m	strike_racket_z_m	strike_pelvis_pitch_deg	strike_torso_pitch_deg
supp_backhand_static_hit1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_deploy_ready_scan_1p00_20260728/supp_backhand_static_hit1_deploy_ready_residual.npz	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/clips/supp_backhand_static.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/gmr_outputs/supp_backhand_static_agibot_a3.pkl	0	146	59	98	224	50.0	-1	static	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_contact_aware_isaacfk_20260728/supp_backhand_static_hit1_contact_aware.npz	0.439461883	tier1	pass		0	135	1.000000000	0.964285714	0.964285714	0.035714286	0.052099577	0.000191408	0.018127469	0.013392857	0.003345754	0.126391566	0.083020562	0.020000000	0.000000000	1.945482456	69.773363200	0.000002578	0.000068868	1.000000	0.602536460	0.000000000	0.861122072	1.068390000	0.142780112	1.059311569	0.700202868	0.184570573	1.374358490	5.330207573	13.635677647
supp_backhand_static_hit2	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_deploy_ready_scan_1p00_20260728/supp_backhand_static_hit2_deploy_ready_residual.npz	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/clips/supp_backhand_static.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/gmr_outputs/supp_backhand_static_agibot_a3.pkl	146	393	232	100	226	50.0	-1	static	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_contact_aware_isaacfk_20260728/supp_backhand_static_hit2_contact_aware.npz	0.444444444	tier1	pass		26	162	1.000000000	1.000000000	1.000000000	0.000000000	0.034113321	0.000067007	0.071736097	0.000000000	0.000731111	0.021045473	0.027585616	0.323213477	0.000000000	0.381413184	3.445445696	0.000002448	0.000071222	1.000000	0.610280441	0.000000000	0.864570618	1.068390000	0.002138996	1.068940365	0.715045592	0.152046966	1.441539930	4.319162478	9.826755331
supp_forehand_static_hit1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_deploy_ready_scan_1p00_20260728/supp_forehand_static_hit1_deploy_ready_residual.npz	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/clips/supp_forehand_static.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/gmr_outputs/supp_forehand_static_agibot_a3.pkl	0	267	108	100	226	50.0	1	static	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_contact_aware_isaacfk_20260728/supp_forehand_static_hit1_contact_aware.npz	0.444444444	tier1	pass		48	184	1.000000000	1.000000000	1.000000000	0.000000000	0.036444817	0.000081749	0.084607533	0.000000000	0.000885533	0.019476626	0.031782848	0.281149319	0.000000000	0.437455704	4.563477089	0.000002520	0.000064113	1.000000	0.565479331	0.000000000	0.881622612	1.068390000	0.002849017	1.068987194	0.644200953	-0.444695090	1.244838731	-1.445009376	8.741408462
supp_forehand_short_translate_hit1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_deploy_ready_scan_1p00_20260728/supp_forehand_short_translate_hit1_deploy_ready_residual.npz	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/clips/supp_forehand_short_translate.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/gmr_outputs/supp_forehand_short_translate_agibot_a3.pkl	0	253	123	100	226	50.0	1	short_translate	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_contact_aware_isaacfk_20260728/supp_forehand_short_translate_hit1_contact_aware.npz	0.444444444	tier1	review	contact_foot_speed	63	199	1.000000000	0.942477876	0.942477876	0.057522124	0.069475170	0.000246681	0.007403017	0.008849558	0.002248221	0.054403382	0.062785670	0.020000000	0.000000000	1.492353873	23.606633711	0.000002591	0.000065245	1.000000	0.603128043	0.000000000	0.849362969	1.068390000	0.007068896	1.069014439	0.638124726	-0.516502233	1.278313582	-0.923617211	13.077733626
supp_forehand_short_translate_hit2	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_deploy_ready_scan_1p00_20260728/supp_forehand_short_translate_hit2_deploy_ready_residual.npz	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/clips/supp_forehand_short_translate.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/supplemental_lower_body_20260728/gmr_outputs/supp_forehand_short_translate_agibot_a3.pkl	253	555	383	100	226	50.0	1	short_translate	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/supplemental_lower_body_contact_aware_isaacfk_20260728/supp_forehand_short_translate_hit2_contact_aware.npz	0.444444444	tier1	review	contact_foot_speed	70	206	1.000000000	0.938053097	0.938053097	0.061946903	0.111850708	0.000443333	0.005967122	0.013274336	0.004284619	0.085815396	0.078181239	0.020000000	0.000000000	2.234314397	58.286381009	0.000002461	0.000064649	1.000000	0.625151154	0.000000000	0.850515813	1.068390000	0.014286765	1.068992526	0.638998946	-0.376168443	1.396249351	-3.664850652	9.415604342
