source	output	frames	fps	duration_s	swing_side	strike_phase	alignment_method	alignment_source	alignment_scale	lower_body_mode	lower_body_blend	root_yaw_mode
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_20260723_canonical/user_backhand_full_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_a3fk_yaw_leg_stabilized_20260723/user_backhand_full_30fps_agibot_a3_a3fk_aligned.npz	430	50.0	8.6	-1	0.4988344988344988	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_20260723_canonical/user_backhand_full_30fps_agibot_a3.npz	1.274268543	stabilize	0.200000	ready_to_default
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_20260723_canonical/user_fronthand_full_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_a3fk_yaw_leg_stabilized_20260723/user_fronthand_full_30fps_agibot_a3_a3fk_aligned.npz	245	50.0	4.9	1	0.5	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_recorded_two_motion_20260723_canonical/user_fronthand_full_30fps_agibot_a3.npz	1.274268543	stabilize	0.200000	ready_to_default
