source	output	frames	fps	duration_s	swing_side	strike_phase	alignment_method	alignment_source	alignment_scale	lower_body_mode	lower_body_blend	root_yaw_mode
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_backhand_raised_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_a3fk_yaw_leg_stabilized_20260724/user_backhand_raised_30fps_agibot_a3_a3fk_aligned.npz	157	50.0	3.14	-1	0.5	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_backhand_raised_30fps_agibot_a3.npz	1.205302225	stabilize	0.200000	ready_to_default
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_backhand_translate_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_a3fk_yaw_leg_stabilized_20260724/user_backhand_translate_30fps_agibot_a3_a3fk_aligned.npz	407	50.0	8.14	-1	0.5	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_backhand_translate_30fps_agibot_a3.npz	1.205302225	stabilize	0.200000	ready_to_default
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_forehand_raised_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_a3fk_yaw_leg_stabilized_20260724/user_forehand_raised_30fps_agibot_a3_a3fk_aligned.npz	330	50.0	6.6	1	0.49848024316109424	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_forehand_raised_30fps_agibot_a3.npz	1.205302225	stabilize	0.200000	ready_to_default
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_forehand_translate_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_a3fk_yaw_leg_stabilized_20260724/user_forehand_translate_30fps_agibot_a3_a3fk_aligned.npz	385	50.0	7.7	1	0.5	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/user_four_motion_20260724_canonical/user_forehand_translate_30fps_agibot_a3.npz	1.205302225	stabilize	0.200000	ready_to_default
